,reg_area,variable,value
209,4D,X2013,"1,930"
210,4E,X2013,"1,930"
211,2A,X2014,960
212,2B,X2014,"6,850"
213,2C,X2014,"4,160"
214,3A,X2014,"9,430"
215,3B,X2014,"2,840"
216,4A,X2014,850
217,4B,X2014,"1,140"
218,4C,X2014,"1,285"
219,4D,X2014,"1,285"
220,4E,X2014,"1,285"
221,2A,X2015,970
222,2B,X2015,"7,038"
223,2C,X2015,"4,650"
224,3A,X2015,"10,100"
225,3B,X2015,"2,650"
226,4A,X2015,"1,390"
227,4B,X2015,"1,140"
228,4C,X2015,"1,285"
229,4D,X2015,"1,285"
230,4E,X2015,"1,285"
231,2A,X2016,1140
232,2B,X2016,"7,300"
233,2C,X2016,"4,950"
234,3A,X2016,"9,600"
235,3B,X2016,"2,710"
236,4A,X2016,"1,390"
237,4B,X2016,"1,140"
238,4C,X2016,"1,660"
239,4D,X2016,"1,660"
240,4E,X2016,"1,660"
241,2A,X2017.Est,"1,211"
242,2B,X2017.Est,"9,036"
243,2C,X2017.Est,"5,133"
244,3A,X2017.Est,"16,819"
245,3B,X2017.Est,"6,765"
246,4A,X2017.Est,"2,118"
247,4B,X2017.Est,"1,853"
248,4C,X2017.Est,"2,908"
249,4D,X2017.Est,"2,908"
250,4E,X2017.Est,"2,908"
251,2A,X2018.Est,"1,256"
252,2B,X2018.Est,"9,268"
253,2C,X2018.Est,"5,122"
254,3A,X2018.Est,"16,904"
255,3B,X2018.Est,"6,894"
256,4A,X2018.Est,"2,158"
257,4B,X2018.Est,"1,966"
258,4C,X2018.Est,"2,954"
259,4D,X2018.Est,"2,954"
260,4E,X2018.Est,"2,954"
261,2A,X2019.Est,"1,250"
262,2B,X2019.Est,"9,224"
263,2C,X2019.Est,"5,006"
264,3A,X2019.Est,"16,241"
265,3B,X2019.Est,"6,547"
266,4A,X2019.Est,"2,073"
267,4B,X2019.Est,"1,960"
268,4C,X2019.Est,"2,864"
269,4D,X2019.Est,"2,864"
270,4E,X2019.Est,"2,864"
271,2A,X2020.Est,"1,344"
272,2B,X2020.Est,"9,867"
273,2C,X2020.Est,"5,278"
274,3A,X2020.Est,"16,656"
275,3B,X2020.Est,"6,527"
276,4A,X2020.Est,"2,145"
277,4B,X2020.Est,"2,075"
278,4C,X2020.Est,"2,969"
279,4D,X2020.Est,"2,969"
280,4E,X2020.Est,"2,969"
